,Description,United States Total,,,Alabama,,,Alaska,,,Arizona,,,Arkansas,,,California,,,Colorado,,,Connecticut,,,Delaware,,,District of Columbia,,,Florida,,,Georgia,,,Hawaii,,,Idaho,,,Illinois,,,Indiana,,,Iowa,,,Kansas,,,Kentucky,,,Louisiana,,,Maine,,,Maryland,,,Massachusetts,,,Michigan,,,Minnesota,,,Mississippi,,
,,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local
,,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government
,,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1
,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2.00,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Line,Description,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78
21,          Other taxes,"80,997,364","50,602,993","30,394,371","1,021,292","409,811","611,481","696,020","678,504","17,516","754,379","325,493","428,886","395,439","353,325","42,114","9,604,634","2,909,476","6,695,158","657,811","211,309","446,502","763,076","603,235","159,841","1,734,505","1,547,283","187,222","651,050",0,"651,050","5,711,860","3,486,126","2,225,734","844,170","308,643","535,527","246,525","194,743","51,782","260,710","201,807","58,903","2,333,826","1,423,327","910,499","541,648","399,922","141,726","497,952","415,090","82,862","362,743","249,613","113,130","572,391","487,055","85,336","892,411","695,595","196,816","232,737","208,943","23,794","2,079,119","1,009,968","1,069,151","1,758,994","1,333,809","425,185","1,302,274","951,230","351,044","1,453,806","1,158,593","295,213","470,127","382,458","87,669"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,     Charges and miscellaneous general revenue,"755,781,141","371,143,763","384,637,378","12,610,272","6,404,698","6,205,574","5,082,639","3,868,742","1,213,897","10,979,158","5,708,453","5,270,705","5,420,198","3,669,178","1,751,020","110,045,288","39,937,793","70,107,495","14,484,443","6,084,437","8,400,006","5,507,856","3,928,669","1,579,187","3,048,411","2,419,927","628,484","1,559,781",0,"1,559,781","48,687,888","16,940,828","31,747,060","17,470,372","6,310,474","11,159,898","4,675,765","3,635,198","1,040,567","3,067,770","1,396,909","1,670,861","22,212,902","10,404,590","11,808,312","14,415,455","5,864,026","8,551,429","12,555,401","7,939,258","4,616,143","8,829,729","5,350,887","3,478,842","7,942,921","5,070,856","2,872,065","9,139,092","4,056,572","5,082,520","2,098,028","1,326,290","771,738","11,156,627","6,604,286","4,552,341","15,219,906","10,859,374","4,360,532","23,971,515","14,019,482","9,952,033","12,422,602","4,876,595","7,546,007","7,176,743","3,064,578","4,112,165"
23,          Current charges,"525,936,032","225,944,001","299,992,031","10,385,684","5,040,778","5,344,906","1,632,041","748,504","883,537","6,988,232","3,094,049","3,894,183","3,768,010","2,546,927","1,221,083","85,526,969","30,603,893","54,923,076","10,212,670","4,131,162","6,081,508","3,416,903","2,247,538","1,169,365","1,506,612","1,087,886","418,726","838,144",0,"838,144","32,176,428","8,447,027","23,729,401","13,011,618","3,758,311","9,253,307","2,697,415","1,896,868","800,547","2,259,773","866,572","1,393,201","14,058,694","5,343,638","8,715,056","10,859,168","3,550,900","7,308,268","7,450,965","3,618,501","3,832,464","6,543,381","4,118,746","2,424,635","6,354,536","3,908,128","2,446,408","6,125,105","2,069,645","4,055,460","1,507,767","859,687","648,080","7,526,749","3,893,561","3,633,188","8,935,878","5,737,966","3,197,912","17,380,305","9,501,634","7,878,671","8,379,024","2,822,949","5,556,075","5,915,853","2,241,286","3,674,567"
24,               Education,"134,573,637","110,253,724","24,319,913","2,996,628","2,663,635","332,993","227,435","202,289","25,146","3,119,344","2,645,395","473,949","1,187,676","1,027,358","160,318","13,326,963","10,953,929","2,373,034","3,537,586","3,010,144","527,442","1,483,648","1,364,929","118,719","676,111","663,210","12,901","42,678",0,"42,678","4,810,631","2,863,098","1,947,533","3,113,549","2,588,322","525,227","442,576","442,576",0,"515,693","437,020","78,673","4,457,102","3,128,830","1,328,272","3,788,243","3,429,403","358,840","2,082,418","1,538,747","543,671","1,635,604","1,211,968","423,636","1,743,457","1,642,874","100,583","1,679,464","1,631,672","47,792","378,607","338,951","39,656","2,678,145","2,187,894","490,251","3,129,791","2,718,391","411,400","6,218,706","5,080,012","1,138,694","2,535,594","1,983,611","551,983","1,354,852","1,016,433","338,419"
25,                    Institutions  of higher education,"118,597,921","109,216,449","9,381,472","2,635,268","2,635,268",0,"192,539","191,584",955,"2,884,903","2,637,344","247,559","1,025,961","1,025,961",0,"12,202,025","10,953,577","1,248,448","3,047,237","3,007,987","39,250","1,354,951","1,354,951",0,"663,198","663,198",0,"37,771",0,"37,771","3,593,573","2,838,974","754,599","2,578,496","2,578,496",0,"410,171","410,171",0,"477,780","436,281","41,499","3,829,236","3,127,225","702,011","3,428,670","3,428,670",0,"1,902,095","1,538,291","363,804","1,477,535","1,208,931","268,604","1,640,637","1,640,637",0,"1,625,102","1,625,102",0,"333,736","333,736",0,"2,570,442","2,187,387","383,055","2,739,851","2,710,635","29,216","5,621,346","5,064,935","556,411","1,982,615","1,982,615",0,"1,188,726","1,010,110","178,616"
26,                    School lunch sales (gross),"5,603,424","34,496","5,568,928","98,844",0,"98,844","7,361",0,"7,361","82,986",0,"82,986","48,781",0,"48,781","377,277",0,"377,277","95,736",0,"95,736","108,134",0,"108,134","12,113",0,"12,113",926,0,926,"201,264",0,"201,264","163,300",0,"163,300","23,671","23,671",0,"23,130",0,"23,130","203,089",0,"203,089","187,907",0,"187,907","112,916",0,"112,916","82,246",0,"82,246","57,102",0,"57,102","26,076",0,"26,076","28,932",0,"28,932","95,922",0,"95,922","192,481","5,374","187,107","158,802",0,"158,802","189,706",0,"189,706","42,092",0,"42,092"
27,               Hospitals,"160,049,975","69,511,075","90,538,900","5,502,021","2,103,921","3,398,100","397,125","6,511","390,614","693,242",156,"693,086","1,373,748","1,198,463","175,285","27,249,751","11,248,310","16,001,441","2,225,656","880,123","1,345,533","428,892","428,892",0,"5,730","5,730",0,"135,176",0,"135,176","8,391,879","976,641","7,415,238","4,092,723","245,496","3,847,227","685,952","685,952",0,"500,844","5,076","495,768","1,811,068","814,692","996,376","4,208,018",29,"4,207,989","3,796,058","1,848,124","1,947,934","3,322,506","2,468,467","854,039","2,584,791","1,850,939","733,852","2,270,994","59,412","2,211,582","135,454","27,274","108,180","181,021","122,733","58,288","356,701",90,"356,611","5,000,658","4,204,148","796,510","1,868,275","192,253","1,676,022","3,589,003","1,076,315","2,512,688"
28,               Highways,"20,551,439","11,430,110","9,121,329","12,365","1,597","10,768","76,431","63,068","13,363","22,741","12,317","10,424","8,631","7,696",935,"977,524","38,409","939,115","290,137","59,996","230,141","5,669","5,253",416,"324,883","200,927","123,956","4,907",0,"4,907","2,120,530","1,921,831","198,699","67,517","48,637","18,880","4,634",0,"4,634","46,576","7,250","39,326","1,323,069","1,305,754","17,315","8,901","1,294","7,607","4,743",41,"4,702","131,220","119,466","11,754","62,623","60,749","1,874","50,448","36,688","13,760","152,778","145,140","7,638","762,276","752,449","9,827","963,429","962,619",810,"151,007","29,104","121,903","168,618","20,784","147,834","6,760","5,269","1,491"
29,               Air transportation (airports),"24,093,169","1,770,565","22,322,604","118,556",47,"118,509","192,599","175,864","16,735","488,490",921,"487,569","78,227",22,"78,205","3,933,050",0,"3,933,050","953,256",0,"953,256","26,951","24,116","2,835","6,921",0,"6,921",0,0,0,"2,264,697",0,"2,264,697","585,685",0,"585,685","430,141","430,141",0,"42,904",0,"42,904","1,425,108",0,"1,425,108","211,668",0,"211,668","63,483","1,564","61,919","46,677",0,"46,677","200,935",425,"200,510","169,977",206,"169,771","41,384",249,"41,135","243,846","232,361","11,485","787,877","762,042","25,835","506,077",676,"505,401","357,698","1,408","356,290","47,116",0,"47,116"
30,               Parking facilities,"3,276,192","27,936","3,248,256","10,855",0,"10,855","1,027",0,"1,027","15,900",0,"15,900","4,597",0,"4,597","760,901","12,063","748,838","27,790",0,"27,790","76,782","7,300","69,482","19,501",0,"19,501","50,804",0,"50,804","243,939",0,"243,939","14,765",0,"14,765","10,858","2,510","8,348",200,0,200,"57,654",0,"57,654","13,347",0,"13,347","25,087",0,"25,087","6,105",0,"6,105","28,068",0,"28,068","13,470",0,"13,470","10,358",0,"10,358","136,933",0,"136,933","53,663",0,"53,663","93,517",0,"93,517","95,285",0,"95,285",917,0,917
31,               Sea and inland port facilities,"5,762,580","1,757,460","4,005,120","125,872","125,872",0,"80,954",0,"80,954",0,0,0,"2,871",0,"2,871","1,501,857",0,"1,501,857",0,0,0,"1,347",503,844,"37,303","37,303",0,0,0,0,"575,335",0,"575,335","372,983","372,983",0,"136,317","136,317",0,"1,136",0,"1,136","9,678",0,"9,678","20,053","13,246","6,807",5,0,5,0,0,0,"20,114",0,"20,114","198,104","89,121","108,983","4,325",0,"4,325","50,634","50,634",0,"122,122","111,759","10,363","3,366",0,"3,366","24,813",0,"24,813","48,504","24,029","24,475"
32,               Natural resources,"5,171,188","2,981,204","2,189,984","5,488","5,157",331,"26,761","25,635","1,126","120,626","37,431","83,195","29,512","22,742","6,770","2,008,239","1,241,940","766,299","64,409","30,412","33,997","33,257","31,137","2,120","1,516","1,516",0,0,0,0,"562,874","113,756","449,118","60,678","59,236","1,442","22,970","22,819",151,"114,985","67,570","47,415","64,038","15,592","48,446","50,599","48,560","2,039","105,123","102,344","2,779","46,229","38,046","8,183","60,670","55,968","4,702","13,377","12,349","1,028","20,655","19,783",872,"26,483","20,702","5,781","24,334","22,574","1,760","59,810","47,895","11,915","87,968","55,569","32,399","13,669","12,199","1,470"
33,               Parks and recreation,"11,438,109","1,707,294","9,730,815","155,606","1,891","153,715","22,176","3,150","19,026","162,297","44,219","118,078","69,721","28,342","41,379","1,590,347","114,727","1,475,620","415,456","4,233","411,223","95,832","18,082","77,750","18,573","15,249","3,324","33,020",0,"33,020","800,926","59,080","741,846","296,794","146,941","149,853","47,405","11,938","35,467","53,283","9,928","43,355","1,137,149","5,147","1,132,002","170,961","33,712","137,249","109,834","5,188","104,646","91,259","1,245","90,014","128,996","65,923","63,073","236,487","102,969","133,518","36,359","1,466","34,893","212,110","38,100","174,010","157,997","71,239","86,758","225,056","6,360","218,696","349,948","39,476","310,472","37,442",418,"37,024"
34,               Housing and community development,"7,103,846","826,674","6,277,172","114,277","44,096","70,181","47,433","11,155","36,278","29,373","9,164","20,209","31,438",185,"31,253","873,202","1,152","872,050","212,298",73,"212,225","135,090","10,328","124,762","14,241","6,163","8,078","60,623",0,"60,623","254,819",278,"254,541","138,492","4,017","134,475","34,130","22,226","11,904","39,172","29,565","9,607","229,172","41,183","187,989","43,226","5,077","38,149","27,273","14,367","12,906","48,079","5,630","42,449","40,105","17,531","22,574","60,051","2,208","57,843","38,525","9,429","29,096","188,078","12,864","175,214","349,651","8,588","341,063","76,245","8,143","68,102","295,582","15,564","280,018","40,754","3,758","36,996"
35,               Sewerage,"58,064,987","1,013,661","57,051,326","562,877",0,"562,877","108,258",0,"108,258","934,287",0,"934,287","331,197",0,"331,197","8,398,253",0,"8,398,253","1,040,230",0,"1,040,230","419,864",0,"419,864","170,580",0,"170,580","322,304",0,"322,304","3,583,376",17,"3,583,359","1,933,032",0,"1,933,032","527,897",0,"527,897","253,094",0,"253,094","1,423,887",0,"1,423,887","1,836,300",0,"1,836,300","591,382",0,"591,382","478,991",0,"478,991","670,692",0,"670,692","480,717",0,"480,717","197,106",0,"197,106","1,342,471","170,631","1,171,840","1,732,860","467,980","1,264,880","1,872,463",0,"1,872,463","1,068,248","254,223","814,025","295,291",0,"295,291"
36,               Solid waste management,"18,396,022","259,620","18,136,402","237,831","6,535","231,296","87,923",0,"87,923","478,735","3,535","475,200","185,194",66,"185,128","3,219,316",0,"3,219,316","124,618","3,818","120,800","167,016","63,426","103,590","82,873","69,257","13,616","4,872",0,"4,872","2,341,396",27,"2,341,369","647,278",0,"647,278","181,199",0,"181,199","172,699",0,"172,699","333,350",0,"333,350","155,264",0,"155,264","278,439","4,487","273,952","164,288",0,"164,288","137,172",941,"136,231","221,255",0,"221,255","55,259",0,"55,259","505,844",203,"505,641","139,009",0,"139,009","252,702",0,"252,702","287,195",0,"287,195","161,818",0,"161,818"
37,               Other charges,"77,454,888","24,404,678","53,050,210","543,308","88,027","455,281","363,919","260,832","103,087","923,197","340,911","582,286","465,198","262,053","203,145","21,687,566","6,993,363","14,694,203","1,321,234","142,363","1,178,871","542,555","293,572","248,983","148,380","88,531","59,849","183,760",0,"183,760","6,226,026","2,512,299","3,713,727","1,688,122","292,679","1,395,443","173,336","142,389","30,947","519,187","310,163","209,024","1,787,419","32,440","1,754,979","352,588","19,579","333,009","367,120","103,639","263,481","572,423","273,924","298,499","676,913","212,778","464,135","730,761","135,020","595,741","436,957","317,395","119,562","1,198,908","304,990","893,918","1,118,444","612,684","505,760","2,920,698","125,296","2,795,402","1,239,800","260,061","979,739","319,727","102,865","216,862"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,          Miscellaneous general revenue,"229,845,109","145,199,762","84,645,347","2,224,588","1,363,920","860,668","3,450,598","3,120,238","330,360","3,990,926","2,614,404","1,376,522","1,652,188","1,122,251","529,937","24,518,319","9,333,900","15,184,419","4,271,773","1,953,275","2,318,498","2,090,953","1,681,131","409,822","1,541,799","1,332,041","209,758","721,637",0,"721,637","16,511,460","8,493,801","8,017,659","4,458,754","2,552,163","1,906,591","1,978,350","1,738,330","240,020","807,997","530,337","277,660","8,154,208","5,060,952","3,093,256","3,556,287","2,313,126","1,243,161","5,104,436","4,320,757","783,679","2,286,348","1,232,141","1,054,207","1,588,385","1,162,728","425,657","3,013,987","1,986,927","1,027,060","590,261","466,603","123,658","3,629,878","2,710,725","919,153","6,284,028","5,121,408","1,162,620","6,591,210","4,517,848","2,073,362","4,043,578","2,053,646","1,989,932","1,260,890","823,292","437,598"
39,               Interest earnings,"51,471,692","37,001,420","14,470,272","333,704","214,873","118,831","1,036,478","913,684","122,794","1,132,619","714,687","417,932","274,621","115,658","158,963","4,494,282","2,287,057","2,207,225","994,206","651,415","342,791","697,397","636,433","60,964","110,980","93,222","17,758","72,334",0,"72,334","1,891,560","670,236","1,221,324","526,022","237,177","288,845","135,215","108,503","26,712","166,005","123,611","42,394","2,042,023","1,668,753","373,270","1,003,295","897,535","105,760","2,785,431","2,677,491","107,940","489,484","230,275","259,209","289,152","220,777","68,375","596,402","366,465","229,937","163,731","142,622","21,109","604,513","509,947","94,566","1,197,800","1,111,854","85,946","1,443,185","1,191,884","251,301","796,667","384,956","411,711","162,544","90,535","72,009"
40,               Special assessments,"9,885,287","19,116","9,866,171","27,031",0,"27,031","6,689",0,"6,689","47,749",0,"47,749","28,207",0,"28,207","2,480,899",0,"2,480,899","385,356",0,"385,356","32,788",0,"32,788","26,327",0,"26,327",0,0,0,"2,826,867",0,"2,826,867","80,533",0,"80,533","40,706","16,253","24,453","29,598",0,"29,598","519,241",0,"519,241","67,946",0,"67,946","21,659",0,"21,659","125,561",0,"125,561","18,137",0,"18,137","10,771",0,"10,771","7,130",0,"7,130","86,380",0,"86,380","9,560",0,"9,560","177,688",0,"177,688","349,266",0,"349,266","7,760",0,"7,760"
41,               Sale of property,"4,463,792","1,344,109","3,119,683","75,456",0,"75,456","404,849","392,175","12,674","257,527","181,998","75,529","16,409","6,403","10,006","585,469","22,844","562,625","232,222","126,134","106,088","16,043","2,228","13,815","7,988","5,198","2,790",0,0,0,"268,397","84,835","183,562","109,352","1,338","108,014","1,638",123,"1,515","94,986","73,627","21,359","13,269",237,"13,032","66,926","3,386","63,540","44,161","3,051","41,110","47,637","7,835","39,802","64,391",0,"64,391","17,375",483,"16,892","7,436","2,631","4,805","17,701","9,471","8,230","78,826","5,675","73,151","93,788","4,660","89,128","36,233","17,102","19,131","42,409",952,"41,457"
42,               Other general revenue,"164,024,338","106,835,117","57,189,221","1,788,397","1,149,047","639,350","2,002,582","1,814,379","188,203","2,553,031","1,717,719","835,312","1,332,951","1,000,190","332,761","16,957,669","7,023,999","9,933,670","2,659,989","1,175,726","1,484,263","1,344,725","1,042,470","302,255","1,396,504","1,233,621","162,883","649,303",0,"649,303","11,524,636","7,738,730","3,785,906","3,742,847","2,313,648","1,429,199","1,800,791","1,613,451","187,340","517,408","333,099","184,309","5,579,675","3,391,962","2,187,713","2,418,120","1,412,205","1,005,915","2,253,185","1,640,215","612,970","1,623,666","994,031","629,635","1,216,705","941,951","274,754","2,389,439","1,619,979","769,460","411,964","321,350","90,614","2,921,284","2,191,307","729,977","4,997,842","4,003,879","993,963","4,876,549","3,321,304","1,555,245","2,861,412","1,651,588","1,209,824","1,048,177","731,805","316,372"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Utility revenue,"168,461,178","13,607,538","154,853,640","3,118,954",0,"3,118,954","418,352","18,690","399,662","5,023,251","29,450","4,993,801","998,583",0,"998,583","29,569,077","1,004,089","28,564,988","3,046,982",0,"3,046,982","823,204","40,889","782,315","490,254","22,485","467,769","969,374",0,"969,374","9,594,239","24,652","9,569,587","4,778,575","9,949","4,768,626","431,177",0,"431,177","241,906",0,"241,906","5,342,572",0,"5,342,572","2,793,770",0,"2,793,770","1,192,659",0,"1,192,659","1,628,522",0,"1,628,522","1,820,035",0,"1,820,035","1,194,996","8,821","1,186,175","156,623","9,835","146,788","1,141,452","145,982","995,470","3,947,919","926,211","3,021,708","2,676,369",0,"2,676,369","2,447,283","104,122","2,343,161","826,073",0,"826,073"
44,     Water supply,"65,678,164","317,990","65,360,174","958,718",0,"958,718","113,554",0,"113,554","1,545,310",0,"1,545,310","506,718",0,"506,718","14,323,603",0,"14,323,603","1,729,701",0,"1,729,701","370,158",0,"370,158","95,716",0,"95,716","180,561",0,"180,561","4,416,109",0,"4,416,109","1,977,628",0,"1,977,628","372,626",0,"372,626","161,500",0,"161,500","3,040,370",0,"3,040,370","958,576",0,"958,576","575,062",0,"575,062","763,985",0,"763,985","799,735",0,"799,735","504,989","6,309","498,680","129,202",0,"129,202","868,961",0,"868,961","1,575,897","249,932","1,325,965","1,453,836",0,"1,453,836","684,968",0,"684,968","301,724",0,"301,724"
45,     Electric power,"79,936,331","9,260,495","70,675,836","1,777,659",0,"1,777,659","298,003","18,690","279,313","3,329,630","29,450","3,300,180","485,376",0,"485,376","12,782,012","1,004,089","11,777,923","1,006,152",0,"1,006,152","381,748",0,"381,748","371,996",0,"371,996",0,0,0,"4,591,385",0,"4,591,385","1,855,537",0,"1,855,537",0,0,0,"77,014",0,"77,014","1,213,065",0,"1,213,065","1,467,243",0,"1,467,243","533,123",0,"533,123","825,154",0,"825,154","701,378",0,"701,378","574,026","2,512","571,514","13,590",0,"13,590","89,241",0,"89,241","1,434,810","17,276","1,417,534","1,147,175",0,"1,147,175","1,525,213",0,"1,525,213","428,318",0,"428,318"
46,     Gas supply,"6,058,468","8,931","6,049,537","378,185",0,"378,185",92,0,92,"43,061",0,"43,061","3,056",0,"3,056","301,286",0,"301,286","149,063",0,"149,063","16,636",0,"16,636",0,0,0,0,0,0,"233,014",0,"233,014","767,360",0,"767,360",0,0,0,0,0,0,"70,019",0,"70,019","317,572",0,"317,572","58,187",0,"58,187","33,954",0,"33,954","294,364",0,"294,364","83,463",0,"83,463",0,0,0,0,0,0,"36,366",0,"36,366",0,0,0,"108,428",0,"108,428","94,172",0,"94,172"
47,     Transit,"16,788,215","4,020,122","12,768,093","4,392",0,"4,392","6,703",0,"6,703","105,250",0,"105,250","3,433",0,"3,433","2,162,176",0,"2,162,176","162,066",0,"162,066","54,662","40,889","13,773","22,542","22,485",57,"788,813",0,"788,813","353,731","24,652","329,079","178,050","9,949","168,101","58,551",0,"58,551","3,392",0,"3,392","1,019,118",0,"1,019,118","50,379",0,"50,379","26,287",0,"26,287","5,429",0,"5,429","24,558",0,"24,558","32,518",0,"32,518","13,831","9,835","3,996","183,250","145,982","37,268","900,846","659,003","241,843","75,358",0,"75,358","128,674","104,122","24,552","1,859",0,"1,859"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Liquor store revenue,"9,569,569","8,158,551","1,411,018","335,417","335,417",0,"9,880",0,"9,880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"164,153","164,153",0,0,0,0,1,0,1,"306,174","306,174",0,0,0,0,0,0,0,0,0,0,33,33,0,"298,493",0,"298,493",0,0,0,"1,082,256","1,082,256",0,"262,838",0,"262,838","349,534","349,534",0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Insurance trust revenue2,"622,125,934","533,324,988","88,800,943","6,437,634","6,141,966","295,668","2,228,996","2,200,042","28,954","9,515,710","8,902,869","612,841","4,686,014","4,623,816","62,199","132,253,488","103,219,953","29,033,535","7,076,184","6,593,215","482,969","7,452,242","6,080,313","1,371,929","1,301,463","1,188,509","112,954","1,038,726",0,"1,038,726","26,139,552","22,089,647","4,049,906","13,564,115","12,362,974","1,201,142","2,666,625","2,666,625",0,"2,920,218","2,918,301","1,917","24,208,852","18,980,690","5,228,162","4,492,933","4,333,994","158,939","5,364,779","5,358,872","5,907","3,659,083","3,519,236","139,847","5,914,280","5,796,322","117,957","8,962,192","8,720,619","241,572","2,041,405","2,041,405",0,"8,679,907","6,386,760","2,293,146","13,976,144","11,152,306","2,823,838","14,633,869","12,051,052","2,582,817","12,094,691","11,898,722","195,968","4,960,002","4,960,002",0
50,     Unemployment compensation,"40,546,814","40,369,857","176,957","232,044","232,044",0,"165,568","165,568",0,"504,468","504,468",0,"261,312","261,312",0,"6,082,473","6,082,473",0,"694,052","694,052",0,"806,210","806,210",0,"115,304","115,304",0,"176,957",0,"176,957","865,033","865,033",0,"752,629","752,629",0,"173,609","173,609",0,"164,990","164,990",0,"2,174,192","2,174,192",0,"576,597","576,597",0,"512,212","512,212",0,"269,441","269,441",0,"526,712","526,712",0,"237,625","237,625",0,"130,001","130,001",0,"606,014","606,014",0,"1,495,705","1,495,705",0,"1,372,847","1,372,847",0,"629,244","629,244",0,"139,999","139,999",0
51,     Employee retirement,"556,877,229","468,253,240","88,623,986","6,205,590","5,909,922","295,668","2,058,243","2,029,289","28,954","9,011,242","8,398,401","612,841","4,405,327","4,343,129","62,199","117,097,673","88,064,138","29,033,535","5,715,560","5,232,591","482,969","6,609,486","5,237,557","1,371,929","1,177,245","1,064,291","112,954","861,769",0,"861,769","25,120,029","21,070,124","4,049,906","12,704,292","11,503,151","1,201,142","2,493,016","2,493,016",0,"2,536,774","2,534,857","1,917","21,983,367","16,755,205","5,228,162","3,909,819","3,750,880","158,939","4,852,567","4,846,660","5,907","3,389,642","3,249,795","139,847","5,155,871","5,037,913","117,957","8,495,925","8,254,352","241,572","1,900,443","1,900,443",0,"7,950,065","5,656,918","2,293,146","11,990,448","9,166,610","2,823,838","13,245,718","10,662,901","2,582,817","11,386,381","11,190,412","195,968","4,814,740","4,814,740",0
52,     Workers' compensation,"16,533,351","16,533,351",0,0,0,0,"5,185","5,185",0,0,0,0,"19,375","19,375",0,"2,338,613","2,338,613",0,"664,634","664,634",0,"36,546","36,546",0,"8,914","8,914",0,0,0,0,"154,490","154,490",0,0,0,0,0,0,0,"218,454","218,454",0,"51,281","51,281",0,"6,517","6,517",0,0,0,0,0,0,0,"231,697","231,697",0,"73,424","73,424",0,"10,961","10,961",0,"27,609","27,609",0,"90,971","90,971",0,"15,304","15,304",0,"79,066","79,066",0,"5,263","5,263",0
53,     Other insurance trust revenue,"8,168,540","8,168,540",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,734,729","6,734,729",0,"1,938","1,938",0,0,0,0,0,0,0,0,0,0,0,0,0,"107,194","107,194",0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,"155,218","155,218",0,0,0,0,"96,219","96,219",0,"399,020","399,020",0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,           Expenditure1,"3,663,341,690","2,316,928,769","1,913,387,693","48,700,302","32,500,189","23,167,484","14,930,662","11,296,272","5,464,254","58,536,457","39,529,659","29,435,571","27,714,169","22,699,462","10,460,768","566,781,375","349,897,906","322,767,888","60,835,756","35,172,287","33,157,235","40,974,389","27,853,110","18,682,131","12,015,427","9,937,802","3,683,514","18,555,021",0,"18,555,021","177,051,803","90,301,871","105,283,948","85,130,589","49,604,549","47,873,137","16,783,022","12,682,493","4,428,167","13,177,791","9,577,579","6,012,311","146,852,515","87,665,115","80,460,738","58,656,093","40,817,154","27,841,233","35,147,502","22,778,289","17,760,165","30,553,818","19,597,921","15,821,397","46,102,593","35,468,462","15,518,125","48,980,339","33,768,006","21,653,301","12,826,381","9,023,504","5,111,790","69,639,107","45,442,241","33,883,541","92,835,614","65,325,819","37,088,615","98,797,531","72,137,592","48,233,393","68,334,684","47,191,763","34,958,734","30,035,373","21,860,679","13,013,130"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,By character and object:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
