Publication Years	records	% of 1218
2020	67	5.501
2019	190	15.599
2018	148	12.151
2017	134	11.002
2016	124	10.181
2015	107	8.785
2014	67	5.501
2013	56	4.598
2012	70	5.747
2011	34	2.791
2010	35	2.874
2009	25	2.053
2008	46	3.777
2007	31	2.545
2006	11	0.903
2005	17	1.396
2004	7	0.575
2003	7	0.575
2002	9	0.739
2001	5	0.411
2000	6	0.493
1999	8	0.657
1998	4	0.328
1997	10	0.821
(0 records (0.000%) do not contain data in the field being analyzed.)
