Publication Years	records	% of 61305
2020	1088	1.775
2019	3192	5.207
2018	3128	5.102
2017	3029	4.941
2016	2904	4.737
2015	2725	4.445
2014	2560	4.176
2013	2605	4.249
2012	2586	4.218
2011	2505	4.086
2010	2434	3.970
2009	2466	4.023
2008	2281	3.721
2007	2217	3.616
2006	2260	3.686
2005	2235	3.646
2004	2072	3.380
2003	1940	3.165
2002	1820	2.969
2001	1743	2.843
2000	1824	2.975
1999	1691	2.758
1998	1785	2.912
1997	1637	2.670
1996	1710	2.789
1995	1543	2.517
1994	1638	2.672
1993	1687	2.752
(0 records (0.000%) do not contain data in the field being analyzed.)
