Institution: https://www.chronicle.com/interactives/faculty-diversity,Full-time faculty,Women,American indian / Alaska native,Asian,Black,Hispanic,Native hawaiian / pacific islander,White,Two or more races,Unknown,Non-resident foreign,total minority
University of Michigan at Ann ArborDoctoral | MI,"6,706",40.60%,0.30%,14.80%,3.40%,3.60%,0.00%,60.70%,1.30%,1.30%,14.70%,23.30%
New York UniversityDoctoral | NY,"5,723",43.60%,0.00%,14.80%,4.40%,4.50%,0.10%,68.20%,0.40%,0.50%,7.10%,24.20%
University of WashingtonDoctoral | WA,"4,279",44.70%,0.40%,15.40%,1.80%,4.10%,0.10%,65.60%,1.80%,7.20%,3.60%,23.60%
University of Colorado at DenverDoctoral | CO,"4,221",56.50%,0.30%,7.30%,1.10%,5.00%,0.10%,68.30%,0.50%,16.50%,0.80%,14.30%
University of Pittsburgh main campusDoctoral | PA,"4,210",42.50%,0.10%,18.10%,2.80%,2.90%,0.10%,70.10%,0.30%,1.10%,4.50%,24.30%
Columbia UniversityDoctoral | NY,"4,133",43.80%,0.10%,16.80%,4.10%,4.50%,0.00%,65.50%,0.80%,3.00%,5.30%,26.30%
Ohio State UniversityDoctoral | OH,"4,065",42.10%,0.10%,14.60%,3.90%,3.80%,0.10%,66.60%,0.90%,5.10%,4.90%,23.40%
Duke UniversityDoctoral | NC,"3,958",40.80%,0.10%,15.30%,4.70%,1.50%,0.20%,77.50%,0.70%,0.00%,0.00%,22.50%
Johns Hopkins UniversityDoctoral | MD,"3,909",42.80%,0.10%,18.70%,5.30%,3.50%,0.00%,67.20%,0.80%,0.10%,4.30%,28.50%
University of California at Los AngelesDoctoral | CA,"3,675",39.30%,0.30%,23.50%,3.20%,6.20%,0.10%,57.10%,0.70%,4.80%,4.00%,34.00%
University of Minnesota-Twin CitiesDoctoral | MN,"3,609",42.10%,0.50%,12.60%,2.40%,3.00%,0.10%,73.00%,1.50%,1.80%,5.20%,20.10%
Stanford UniversityDoctoral | CA,"3,533",39.40%,0.20%,18.60%,2.10%,4.30%,0.00%,54.40%,1.60%,9.90%,8.90%,26.80%
University of Wisconsin at MadisonDoctoral | WI,"3,513",40.10%,0.30%,10.50%,2.20%,3.00%,0.10%,74.80%,1.10%,5.00%,3.00%,17.10%
Rutgers University at New BrunswickDoctoral | NJ,"3,361",45.40%,0.10%,13.60%,3.80%,3.90%,0.00%,52.10%,0.70%,18.30%,7.50%,22.10%
Texas A&M University at College StationDoctoral | TX,"3,205",35.90%,0.20%,14.00%,3.30%,6.40%,0.20%,66.30%,0.90%,2.80%,5.90%,25.00%
Icahn School of Medicine at Mount SinaiSpecial-Focus | NY,"3,092",44.70%,0.10%,29.40%,4.40%,5.10%,0.10%,57.30%,0.70%,2.30%,0.70%,39.70%
Baylor College of MedicineSpecial-Focus | TX,"3,056",54.00%,0.20%,22.80%,6.10%,7.10%,0.10%,43.90%,2.80%,17.00%,0.00%,39.10%
Pennsylvania State University at University ParkDoctoral | PA,"2,994",40.90%,0.30%,9.40%,3.40%,3.50%,0.00%,66.30%,0.80%,8.80%,7.60%,17.40%
Michigan State UniversityDoctoral | MI,"2,979",42.00%,0.50%,13.00%,4.60%,4.10%,0.10%,72.60%,0.50%,0.00%,4.60%,22.80%
Yale UniversityDoctoral | CT,"2,927",40.30%,0.10%,12.60%,3.20%,3.90%,0.10%,62.10%,0.50%,10.70%,6.70%,20.50%
University of Texas at AustinDoctoral | TX,"2,906",41.90%,0.10%,9.50%,4.40%,7.80%,0.00%,72.50%,1.30%,0.00%,4.40%,23.10%
Boston UniversityDoctoral | MA,"2,897",48.40%,0.00%,11.10%,3.80%,3.50%,0.00%,74.70%,1.20%,0.00%,5.80%,19.50%
University of FloridaDoctoral | FL,"2,734",37.20%,0.10%,11.70%,4.00%,7.00%,0.00%,72.00%,1.30%,0.30%,3.70%,24.10%
Western Governors UniversityMaster's | UT,"2,630",75.00%,0.40%,2.00%,13.80%,4.10%,0.20%,73.70%,3.30%,2.50%,0.00%,23.80%
University of California at San DiegoDoctoral | CA,"2,588",37.80%,0.30%,18.90%,1.80%,6.70%,0.10%,64.40%,0.10%,2.40%,5.30%,27.90%
University of California at DavisDoctoral | CA,"2,572",40.00%,0.30%,18.10%,2.10%,5.80%,0.00%,64.90%,0.50%,3.60%,4.70%,26.80%
University of California at San FranciscoSpecial-Focus | CA,"2,553",49.80%,0.40%,26.20%,3.10%,5.40%,0.10%,58.10%,0.80%,3.20%,2.80%,35.90%
Indiana University-Purdue University at IndianapolisDoctoral | IN,"2,472",44.20%,0.00%,15.60%,4.40%,3.70%,0.00%,75.20%,0.90%,0.00%,0.10%,24.60%
University of Southern CaliforniaDoctoral | CA,"2,444",39.10%,0.20%,13.50%,3.30%,5.60%,0.00%,66.50%,1.80%,5.80%,3.40%,24.40%
University of Alabama at BirminghamDoctoral | AL,"2,444",41.40%,0.20%,15.20%,6.30%,3.10%,0.00%,69.70%,0.70%,0.10%,4.70%,25.50%
University of IowaDoctoral | IA,"2,437",40.30%,0.30%,11.90%,2.20%,4.50%,0.00%,71.80%,0.70%,3.10%,5.50%,19.70%
University of KansasDoctoral | KS,"2,381",41.60%,0.40%,13.10%,3.20%,3.00%,0.00%,73.80%,1.80%,0.40%,4.30%,21.60%
University of RochesterDoctoral | NY,"2,374",39.40%,0.20%,13.20%,2.30%,2.30%,0.00%,77.30%,0.50%,0.00%,4.20%,18.50%
University of VirginiaDoctoral | VA,"2,305",37.70%,0.00%,9.80%,4.40%,2.90%,0.00%,76.30%,0.90%,0.30%,5.40%,18.10%
Temple UniversityDoctoral | PA,"2,296",41.70%,0.40%,14.40%,5.80%,3.60%,0.10%,64.70%,0.90%,6.20%,3.90%,25.20%
University of Illinois at Urbana-ChampaignDoctoral | IL,"2,292",37.70%,0.30%,14.90%,4.70%,6.00%,0.00%,66.50%,1.30%,1.40%,5.00%,27.10%
Northwestern UniversityDoctoral | IL,"2,282",39.70%,0.10%,12.60%,3.90%,4.30%,0.00%,72.40%,1.00%,2.00%,3.60%,21.90%
University of ChicagoDoctoral | IL,"2,271",37.20%,0.00%,16.60%,3.60%,3.40%,0.00%,64.40%,0.90%,5.30%,5.70%,24.60%
University of CincinnatiDoctoral | OH,"2,213",43.70%,0.10%,13.20%,4.70%,2.80%,0.10%,72.10%,0.60%,1.00%,5.40%,21.50%
Virginia Commonwealth UniversityDoctoral | VA,"2,187",44.30%,0.20%,14.30%,6.20%,3.00%,0.00%,70.00%,1.10%,0.70%,4.50%,24.80%
Harvard UniversityDoctoral | MA,"2,155",34.70%,0.10%,11.40%,4.70%,3.40%,0.10%,69.30%,1.40%,0.00%,9.60%,21.10%
University of Illinois at ChicagoDoctoral | IL,"2,147",48.30%,0.10%,19.10%,5.60%,6.80%,0.10%,61.30%,1.20%,2.20%,3.60%,32.90%
University of PennsylvaniaDoctoral | PA,"2,129",36.80%,0.10%,14.00%,3.50%,4.70%,0.00%,72.60%,1.00%,0.10%,4.00%,23.30%
Arizona State UniversityDoctoral | AZ,"2,121",40.60%,1.30%,12.90%,2.30%,7.10%,0.00%,66.60%,1.30%,3.60%,4.90%,24.90%
University of UtahDoctoral | UT,"2,106",37.60%,0.30%,9.10%,0.80%,3.80%,0.10%,69.10%,1.10%,6.00%,9.60%,15.20%
University of GeorgiaDoctoral | GA,"2,098",39.50%,0.30%,9.80%,4.80%,4.00%,0.00%,70.70%,0.50%,8.90%,0.90%,19.40%
Indiana University at BloomingtonDoctoral | IN,"2,090",40.40%,0.10%,11.30%,4.20%,5.40%,0.10%,77.90%,0.70%,0.20%,0.10%,21.80%
University of ArizonaDoctoral | AZ,"2,056",40.70%,0.80%,9.90%,2.10%,8.10%,0.00%,66.30%,1.10%,7.90%,3.90%,21.90%
Purdue University at West LafayetteDoctoral | IN,"2,006",33.00%,0.10%,17.80%,2.80%,4.10%,0.10%,65.10%,1.10%,1.00%,8.00%,25.90%
Emory UniversityDoctoral | GA,"1,999",42.80%,0.30%,16.20%,7.50%,2.90%,0.10%,68.20%,0.70%,0.00%,4.10%,27.70%
University of California at IrvineDoctoral | CA,"1,987",40.00%,0.30%,23.40%,2.70%,5.40%,0.10%,60.20%,0.70%,2.90%,4.30%,32.60%
University of ConnecticutDoctoral | CT,"1,947",40.60%,0.20%,14.60%,2.60%,4.20%,0.00%,64.00%,0.50%,7.70%,6.20%,22.10%
Virginia TechDoctoral | VA,"1,938",34.90%,0.40%,12.40%,3.40%,3.40%,0.10%,74.40%,0.50%,0.00%,5.50%,20.10%
University of North Carolina at Chapel HillDoctoral | NC,"1,908",46.90%,0.70%,8.10%,5.60%,5.00%,0.10%,72.10%,0.70%,3.90%,3.90%,20.20%
Wake Forest UniversityDoctoral | NC,"1,875",40.60%,0.40%,10.80%,4.60%,3.90%,0.20%,75.80%,0.60%,0.80%,2.90%,20.60%
University of Missouri at ColumbiaDoctoral | MO,"1,874",41.70%,0.30%,12.80%,3.80%,4.20%,0.20%,68.80%,0.90%,2.30%,6.80%,22.10%
Stony Brook UniversityDoctoral | NY,"1,858",42.40%,0.10%,16.50%,3.80%,3.50%,0.10%,66.50%,0.50%,4.10%,4.80%,24.50%
University of Maryland at College ParkDoctoral | MD,"1,843",38.60%,0.20%,13.70%,5.90%,5.70%,0.10%,62.80%,0.90%,7.70%,2.90%,26.50%
University of MississippiDoctoral | MS,"1,831",45.30%,0.30%,7.80%,7.30%,2.90%,0.10%,72.70%,1.50%,0.10%,7.50%,19.80%
University of South FloridaDoctoral | FL,"1,822",45.20%,0.20%,14.40%,5.00%,10.20%,0.10%,65.50%,0.00%,0.50%,4.00%,29.90%
Cornell UniversityDoctoral | NY,"1,821",37.20%,0.30%,10.70%,3.70%,3.90%,0.00%,72.80%,0.70%,0.30%,7.60%,19.20%
University of Texas Health Science Center at HoustonSpecial-Focus | TX,"1,787",46.20%,0.20%,28.90%,6.30%,8.70%,0.00%,46.70%,0.90%,3.30%,4.90%,45.10%
University of LouisvilleDoctoral | KY,"1,776",41.70%,0.10%,13.40%,5.80%,2.90%,0.20%,71.50%,1.10%,0.50%,4.60%,23.40%
University of Maryland at BaltimoreSpecial-Focus | MD,"1,761",47.30%,0.20%,21.10%,8.30%,3.00%,0.10%,63.70%,0.50%,0.10%,2.90%,33.30%
University of California at BerkeleyDoctoral | CA,"1,754",37.30%,0.20%,13.70%,3.40%,6.10%,0.10%,60.10%,1.30%,11.50%,3.70%,24.70%
North Carolina State UniversityDoctoral | NC,"1,753",38.20%,0.10%,11.10%,4.90%,4.70%,0.10%,70.60%,0.70%,4.00%,4.00%,21.40%
Weill Cornell MedicineSpecial-Focus | NY,"1,752",44.70%,0.10%,24.50%,3.00%,3.80%,0.10%,59.70%,2.10%,0.00%,6.80%,33.60%
University of New MexicoDoctoral | NM,"1,739",50.90%,2.00%,9.40%,1.40%,14.00%,0.00%,61.90%,1.30%,5.30%,4.50%,28.20%
University of KentuckyDoctoral | KY,"1,733",40.20%,0.10%,11.70%,4.00%,3.00%,0.10%,77.90%,0.70%,0.00%,2.50%,19.60%
Medical College of WisconsinSpecial-Focus | WI,"1,709",39.50%,0.10%,20.30%,2.80%,2.60%,0.10%,73.00%,1.20%,0.00%,0.00%,27.00%
University of South Carolina at ColumbiaDoctoral | SC,"1,667",44.00%,0.20%,11.10%,5.80%,3.20%,0.10%,75.20%,1.30%,0.10%,3.00%,21.70%
Washington University in St. LouisDoctoral | MO,"1,644",32.90%,0.10%,15.80%,3.80%,3.30%,0.10%,75.80%,0.90%,0.00%,0.30%,23.90%
University at BuffaloDoctoral | NY,"1,636",36.90%,0.40%,16.20%,2.00%,2.30%,0.10%,72.60%,0.40%,0.00%,6.10%,21.30%
Wayne State UniversityDoctoral | MI,"1,633",42.30%,0.10%,20.40%,7.50%,2.20%,0.10%,64.50%,0.50%,0.80%,3.90%,30.80%
Oregon Health & Science UniversitySpecial-Focus | OR,"1,619",53.90%,0.10%,13.50%,1.00%,3.10%,0.20%,70.20%,0.60%,9.10%,2.30%,18.40%
University of Colorado at BoulderDoctoral | CO,"1,610",39.20%,0.40%,9.40%,1.60%,4.80%,0.20%,70.10%,0.90%,9.10%,3.40%,17.30%
Texas Tech UniversityDoctoral | TX,"1,606",41.20%,0.40%,11.50%,2.40%,7.80%,0.10%,70.70%,0.60%,0.00%,6.70%,22.60%
Florida State UniversityDoctoral | FL,"1,602",40.90%,0.30%,11.30%,5.20%,4.60%,0.00%,71.80%,1.30%,0.30%,5.20%,22.70%
University of Texas Southwestern Medical Center at DallasSpecial-Focus | TX,"1,602",42.80%,0.20%,28.00%,4.00%,6.80%,0.10%,55.40%,0.50%,2.50%,2.50%,39.60%
Colorado State University at Fort CollinsDoctoral | CO,"1,600",43.70%,0.30%,5.10%,0.70%,4.10%,0.00%,75.10%,1.40%,0.60%,12.70%,11.60%
University of Tennessee at KnoxvilleDoctoral | TN,"1,595",44.50%,0.30%,8.90%,3.80%,3.90%,0.00%,79.10%,0.60%,0.10%,3.50%,17.40%
Iowa State UniversityDoctoral | IA,"1,561",36.30%,0.40%,15.80%,2.60%,3.60%,0.10%,71.60%,0.50%,0.00%,5.50%,22.90%
University of Central FloridaDoctoral | FL,"1,561",41.80%,0.30%,13.70%,4.00%,7.40%,0.00%,69.00%,1.00%,0.00%,4.70%,26.30%
University of MiamiDoctoral | FL,"1,486",36.40%,0.20%,11.40%,4.10%,15.90%,0.00%,62.40%,0.50%,0.90%,4.50%,32.20%
University of HoustonDoctoral | TX,"1,485",40.00%,0.10%,18.30%,4.50%,8.60%,0.00%,62.60%,0.80%,0.40%,4.70%,32.30%
University of Alabama at TuscaloosaDoctoral | AL,"1,484",45.20%,0.30%,8.00%,6.30%,2.50%,0.10%,78.00%,0.30%,0.20%,4.40%,17.40%
University of Massachusetts at AmherstDoctoral | MA,"1,417",45.50%,0.40%,12.80%,4.60%,3.30%,0.00%,69.90%,1.30%,2.90%,4.90%,22.40%
Drexel UniversityDoctoral | PA,"1,414",46.90%,0.10%,11.80%,4.80%,2.90%,0.10%,71.20%,1.00%,2.50%,5.50%,20.80%
Oregon State UniversityDoctoral | OR,"1,412",40.90%,0.50%,9.00%,1.00%,5.30%,0.20%,70.00%,1.50%,6.90%,5.60%,17.50%
East Carolina UniversityDoctoral | NC,"1,405",49.10%,0.50%,8.30%,5.10%,2.60%,0.00%,70.10%,0.90%,12.10%,0.40%,17.40%
Auburn UniversityDoctoral | AL,"1,375",39.90%,0.50%,10.30%,4.30%,3.60%,0.10%,74.30%,1.20%,0.50%,5.20%,20.00%
West Virginia UniversityDoctoral | WV,"1,371",43.00%,0.10%,9.60%,2.10%,1.90%,0.00%,77.00%,0.60%,5.40%,3.30%,14.40%
Florida International UniversityDoctoral | FL,"1,369",42.90%,0.40%,14.00%,6.10%,20.90%,0.10%,51.20%,0.60%,0.00%,6.70%,42.10%
Massachusetts Institute of TechnologyDoctoral | MA,"1,365",26.70%,0.10%,10.30%,2.40%,4.30%,0.10%,64.10%,1.30%,11.30%,6.20%,18.50%
Washington State UniversityDoctoral | WA,"1,353",44.00%,0.40%,8.40%,0.80%,3.70%,0.20%,54.50%,1.00%,26.80%,4.10%,14.60%
George Mason UniversityDoctoral | VA,"1,345",43.90%,0.20%,12.10%,4.40%,3.30%,0.00%,67.70%,1.60%,6.90%,3.80%,21.60%
Texas State UniversityDoctoral | TX,"1,339",50.20%,0.00%,1.10%,2.00%,18.90%,0.00%,72.90%,0.60%,0.30%,4.30%,22.60%
Louisiana State University at Baton RougeDoctoral | LA,"1,331",37.80%,0.30%,10.80%,3.80%,4.10%,0.00%,71.40%,0.30%,1.90%,7.30%,19.40%
Northeastern UniversityDoctoral | MA,"1,331",42.80%,0.40%,10.20%,3.90%,3.20%,0.00%,71.40%,1.10%,3.20%,6.70%,18.70%
Saint Louis UniversityDoctoral | MO,"1,315",45.30%,0.60%,13.20%,3.90%,3.00%,0.10%,72.90%,0.00%,1.20%,5.00%,20.80%
Vanderbilt UniversityDoctoral | TN,"1,303",45.00%,0.30%,5.80%,4.90%,4.00%,0.10%,71.50%,0.40%,10.70%,2.50%,15.40%
University of Nebraska at LincolnDoctoral | NE,"1,301",36.60%,0.40%,13.20%,2.00%,4.20%,0.00%,75.10%,0.40%,0.10%,4.60%,20.20%
Clemson UniversityDoctoral | SC,"1,300",39.90%,0.00%,12.50%,4.40%,3.40%,0.10%,76.50%,0.10%,2.70%,0.20%,20.50%
University of Massachusetts at WorcesterSpecial-Focus | MA,"1,292",43.20%,0.00%,17.90%,1.60%,3.20%,0.10%,59.80%,0.00%,0.00%,17.40%,22.80%
University of Oklahoma at NormanDoctoral | OK,"1,276",38.80%,2.20%,8.90%,2.20%,2.90%,0.10%,71.70%,1.70%,2.60%,7.80%,17.90%
Brigham Young UniversityDoctoral | UT,"1,271",20.90%,0.10%,1.70%,0.40%,0.90%,0.30%,93.90%,2.30%,0.00%,0.40%,5.70%
Georgia State UniversityDoctoral | GA,"1,261",49.30%,0.10%,10.50%,12.50%,3.30%,0.00%,66.80%,0.90%,0.90%,5.00%,27.30%
Tulane UniversityDoctoral | LA,"1,260",43.30%,0.60%,10.90%,4.20%,4.70%,0.00%,71.00%,1.40%,1.50%,5.70%,21.80%
Case Western Reserve UniversityDoctoral | OH,"1,259",40.60%,0.20%,15.70%,3.20%,2.60%,0.00%,75.80%,0.20%,0.20%,2.10%,22.00%
Carnegie Mellon UniversityDoctoral | PA,"1,244",28.90%,0.00%,9.70%,1.30%,3.00%,0.00%,61.30%,0.80%,3.90%,20.00%,14.90%
University of DelawareDoctoral | DE,"1,243",44.80%,0.10%,13.10%,4.90%,3.80%,0.00%,73.90%,0.30%,0.20%,3.70%,22.20%
Ivy Tech Community College-Central IndianaAssociate | IN,"1,243",60.80%,0.30%,2.10%,6.10%,2.00%,0.00%,86.80%,0.80%,0.10%,1.80%,11.30%
George Washington UniversityDoctoral | DC,"1,239",45.80%,0.20%,14.70%,6.10%,3.60%,0.00%,74.00%,0.10%,1.10%,0.20%,24.80%
Oklahoma State University at StillwaterDoctoral | OK,"1,230",40.40%,1.80%,10.10%,2.50%,3.00%,0.00%,70.90%,2.50%,0.20%,8.90%,19.90%
University of Texas-Pan AmericanDoctoral | TX,"1,228",42.40%,0.20%,14.50%,2.60%,36.00%,0.00%,36.30%,0.20%,3.90%,6.20%,53.60%
Thomas Jefferson UniversitySpecial-Focus | PA,"1,228",42.10%,0.50%,11.10%,2.40%,2.10%,0.20%,61.00%,0.00%,12.80%,9.80%,16.40%
University of Arkansas at FayettevilleDoctoral | AR,"1,227",40.70%,0.70%,9.90%,3.30%,4.00%,0.10%,71.50%,1.40%,5.20%,4.00%,19.30%
University of Notre DameDoctoral | IN,"1,216",32.00%,0.20%,9.50%,2.10%,5.90%,0.00%,72.60%,2.20%,1.40%,6.10%,19.90%
Pennsylvania State University-Milton S. Hershey Medical Center College of MedicineSpecial-Focus | PA,"1,215",41.30%,0.00%,20.80%,3.10%,2.50%,0.20%,64.40%,1.20%,2.70%,5.00%,27.80%
Georgetown UniversityDoctoral | DC,"1,211",44.60%,0.10%,8.20%,5.00%,3.20%,0.50%,61.40%,0.70%,13.40%,7.40%,17.80%
University of Oklahoma Health Sciences CenterSpecial-Focus | OK,"1,203",50.10%,1.40%,7.60%,2.80%,1.40%,0.10%,66.80%,0.80%,0.10%,18.90%,14.20%
University of VermontDoctoral | VT,"1,192",41.90%,0.10%,6.20%,1.50%,3.50%,0.10%,84.00%,1.30%,1.40%,1.90%,12.70%
Keiser University at Ft. LauderdaleMaster's | FL,"1,190",61.20%,0.30%,4.70%,13.50%,15.10%,0.20%,64.40%,1.90%,0.00%,0.00%,35.60%
Northern Arizona UniversityDoctoral | AZ,"1,161",51.50%,2.10%,4.20%,1.70%,6.30%,0.20%,76.10%,1.80%,3.50%,4.10%,16.30%
University of North TexasDoctoral | TX,"1,157",44.90%,0.10%,14.50%,4.80%,7.00%,0.10%,66.70%,1.70%,2.90%,2.10%,28.30%
Grand Valley State UniversityMaster's | MI,"1,154",49.80%,0.40%,7.70%,3.10%,3.70%,0.10%,80.20%,0.50%,1.60%,2.70%,15.50%
University of OregonDoctoral | OR,"1,150",44.30%,0.30%,8.30%,1.90%,5.10%,0.20%,72.60%,1.00%,6.60%,4.10%,16.70%
University of Hawaii-ManoaDoctoral | HI,"1,149",45.50%,0.20%,28.50%,1.30%,2.00%,6.80%,52.40%,3.30%,0.10%,5.40%,42.10%
Kennesaw State UniversityDoctoral | GA,"1,129",49.60%,0.20%,11.30%,9.60%,2.80%,0.20%,69.40%,1.10%,1.00%,4.40%,25.20%
University of Nevada at Las VegasDoctoral | NV,"1,119",40.20%,0.40%,18.20%,4.70%,5.90%,0.30%,67.40%,1.70%,0.80%,0.60%,31.20%
Georgia Southern UniversityDoctoral | GA,"1,111",50.00%,0.10%,9.10%,6.80%,3.20%,0.10%,75.10%,0.60%,0.80%,4.20%,19.90%
Syracuse UniversityDoctoral | NY,"1,109",42.70%,0.30%,11.40%,5.10%,3.30%,0.10%,73.80%,0.60%,0.70%,4.90%,20.60%
Baylor UniversityDoctoral | TX,"1,106",42.00%,0.10%,5.40%,2.80%,3.90%,0.10%,82.10%,2.10%,0.70%,2.80%,14.40%
Liberty UniversityDoctoral | VA,"1,089",39.20%,0.90%,2.80%,5.60%,3.00%,0.00%,80.80%,0.00%,6.60%,0.30%,12.30%
University of North Carolina at CharlotteDoctoral | NC,"1,088",48.80%,0.00%,11.80%,7.50%,4.00%,0.00%,67.70%,0.30%,0.80%,8.00%,23.50%
California State University at Long BeachMaster's | CA,"1,076",51.70%,0.70%,19.30%,4.10%,10.50%,0.00%,57.70%,1.70%,3.50%,2.40%,36.30%
University of Wisconsin at MilwaukeeDoctoral | WI,"1,068",48.70%,0.30%,13.10%,3.90%,4.30%,0.00%,74.00%,0.80%,0.00%,3.60%,22.40%
Rush UniversitySpecial-Focus | IL,"1,064",54.50%,0.30%,21.40%,4.80%,5.50%,0.00%,66.20%,1.80%,0.10%,0.00%,33.70%
Ohio UniversityDoctoral | OH,"1,063",43.00%,0.40%,9.00%,4.10%,3.70%,0.00%,73.80%,0.90%,3.40%,4.70%,18.20%
James Madison UniversityMaster's | VA,"1,061",50.50%,0.40%,5.10%,2.80%,3.20%,0.00%,79.80%,1.10%,4.70%,2.80%,12.60%
Ball State UniversityDoctoral | IN,"1,046",49.10%,0.10%,3.00%,2.90%,2.70%,0.00%,80.20%,0.50%,0.30%,10.40%,9.10%
Rochester Institute of TechnologyDoctoral | NY,"1,044",36.10%,0.80%,10.50%,4.00%,4.60%,0.20%,74.20%,0.80%,1.30%,3.50%,20.90%
University of California at RiversideDoctoral | CA,"1,034",35.90%,0.80%,11.50%,3.30%,5.90%,0.00%,46.80%,1.30%,4.00%,26.50%,22.70%
Kansas State UniversityDoctoral | KS,"1,033",41.90%,0.30%,10.30%,2.20%,4.30%,0.00%,75.80%,0.90%,1.20%,5.10%,17.90%
University of California at Santa BarbaraDoctoral | CA,"1,027",40.60%,0.70%,9.30%,1.90%,6.60%,0.10%,64.80%,0.70%,7.90%,8.00%,19.30%
Georgia Institute of TechnologyDoctoral | GA,"1,025",28.20%,0.00%,10.60%,3.10%,2.20%,0.00%,53.70%,0.20%,0.90%,29.30%,16.20%
Appalachian State UniversityMaster's | NC,"1,010",48.70%,0.10%,3.00%,1.70%,0.90%,0.00%,88.00%,1.40%,1.40%,3.60%,7.00%
Utah State UniversityDoctoral | UT,"1,007",38.50%,0.30%,5.00%,0.20%,4.40%,0.10%,80.90%,1.00%,8.10%,0.00%,10.90%
University of Texas at ArlingtonDoctoral | TX,"1,004",43.40%,0.20%,21.10%,5.00%,5.10%,0.00%,59.60%,0.70%,6.10%,2.30%,32.10%
California State University at FullertonDoctoral | CA,997,49.40%,0.40%,19.90%,3.20%,9.20%,0.10%,59.30%,0.30%,2.10%,5.50%,33.10%
Miami University (Ohio)Doctoral | OH,994,43.70%,0.30%,8.60%,5.00%,4.10%,0.00%,74.10%,1.30%,0.00%,6.40%,19.40%
Kent State University at Kent (Ohio)Doctoral | OH,987,53.10%,0.10%,6.10%,4.50%,1.70%,0.00%,73.40%,1.20%,1.40%,11.70%,13.60%
Princeton UniversityDoctoral | NJ,979,34.90%,0.00%,10.10%,3.60%,4.50%,0.00%,68.50%,0.60%,3.70%,9.00%,18.80%
Mississippi State UniversityDoctoral | MS,947,39.70%,0.30%,9.40%,5.20%,3.20%,0.00%,74.70%,0.80%,0.00%,6.40%,18.90%
California State University at NorthridgeMaster's | CA,947,51.20%,0.60%,16.10%,5.20%,11.20%,0.00%,59.50%,1.40%,4.00%,2.10%,34.40%
Loyola University ChicagoDoctoral | IL,942,47.90%,0.00%,7.60%,4.70%,4.80%,0.30%,79.10%,0.90%,0.50%,2.10%,18.30%
University of Texas at San AntonioDoctoral | TX,941,38.80%,0.50%,15.30%,3.20%,17.40%,0.00%,53.80%,0.60%,4.40%,4.80%,37.10%
San Diego State UniversityDoctoral | CA,934,46.40%,0.60%,13.50%,3.30%,9.30%,0.20%,64.10%,1.20%,3.60%,4.10%,28.20%
Middle Tennessee State UniversityDoctoral | TN,924,48.20%,0.10%,7.40%,6.90%,3.00%,0.00%,78.60%,0.50%,3.00%,0.40%,18.00%
Tufts UniversityDoctoral | MA,924,46.50%,0.00%,12.70%,3.00%,5.00%,0.00%,70.50%,1.40%,4.10%,3.40%,22.10%
Southern Illinois University at CarbondaleDoctoral | IL,921,39.20%,0.20%,16.50%,4.80%,3.80%,0.10%,71.70%,0.80%,0.00%,2.20%,26.20%
Howard UniversityDoctoral | DC,920,46.20%,0.20%,10.30%,55.60%,2.80%,0.00%,13.70%,0.40%,16.90%,0.00%,69.50%
Lone Star College systemAssociate | TX,917,54.50%,0.70%,5.10%,11.50%,10.80%,1.70%,67.40%,1.20%,1.60%,0.00%,31.00%
Towson UniversityMaster's | MD,909,57.10%,0.00%,13.00%,6.30%,2.40%,0.20%,75.10%,1.10%,1.50%,0.30%,23.00%
University of MemphisDoctoral | TN,907,46.10%,0.20%,11.10%,9.50%,3.90%,0.00%,71.00%,1.30%,0.40%,2.50%,26.00%
DePaul UniversityDoctoral | IL,907,46.50%,0.30%,5.80%,7.10%,6.50%,0.00%,65.90%,1.00%,6.10%,7.30%,20.70%
University of Nevada at RenoDoctoral | NV,904,42.40%,0.50%,11.60%,1.90%,5.40%,0.20%,72.50%,1.40%,0.00%,6.40%,21.10%
Illinois State UniversityDoctoral | IL,889,53.00%,0.10%,7.30%,3.50%,2.50%,0.00%,72.90%,1.00%,9.10%,3.60%,14.40%
Houston Community CollegeAssociate | TX,881,51.90%,0.10%,11.10%,24.90%,9.90%,0.10%,53.50%,0.40%,0.00%,0.00%,46.50%
California Polytechnic State University at San Luis ObispoMaster's | CA,881,36.40%,0.30%,7.80%,1.60%,4.50%,0.10%,74.60%,0.90%,5.10%,5.00%,15.30%
Brown UniversityDoctoral | RI,876,35.30%,0.10%,10.30%,4.80%,4.80%,0.00%,69.30%,1.40%,3.10%,6.30%,21.30%
Augusta UniversityDoctoral | GA,875,46.10%,0.00%,10.20%,6.90%,3.50%,0.10%,71.10%,0.90%,3.80%,3.50%,21.60%
Florida Atlantic UniversityDoctoral | FL,874,45.90%,0.10%,11.90%,7.10%,8.50%,0.00%,68.50%,0.20%,0.00%,3.70%,27.80%
University of Texas at DallasDoctoral | TX,873,31.40%,0.00%,26.50%,2.30%,3.50%,0.10%,60.90%,0.00%,3.70%,3.00%,32.40%
Western Michigan UniversityDoctoral | MI,871,45.10%,0.10%,12.30%,4.10%,3.30%,0.00%,70.80%,1.10%,7.50%,0.70%,21.00%
Boston CollegeDoctoral | MA,860,41.00%,0.20%,10.10%,2.80%,3.60%,0.20%,78.80%,0.50%,0.00%,3.70%,17.40%
