Institution: https://www.chronicle.com/interactives/faculty-diversity,Full-time faculty,Women,American indian / Alaska native,Asian,Black,Hispanic,Native hawaiian / pacific islander,White,Two or more races,Unknown,Non-resident foreign,total minority
Andrews UniversityDoctoral | MI,222,42.80%,0.00%,8.10%,9.90%,8.10%,0.00%,65.80%,1.80%,3.10%,3.10%,27.90%
Western Connecticut State UniversityMaster's | CT,222,51.80%,0.00%,10.40%,4.00%,5.00%,0.00%,76.10%,0.00%,4.50%,0.00%,19.40%
College of the SequoiasAssociate | CA,221,52.50%,0.40%,7.20%,3.20%,21.70%,0.00%,61.50%,0.40%,4.10%,1.40%,33.00%
Trinity College (Conn.)Baccalaureate | CT,221,45.30%,0.00%,5.00%,4.10%,6.30%,0.00%,70.60%,0.00%,0.40%,13.60%,15.40%
College of Saint ScholasticaMaster's | MN,221,67.00%,2.30%,1.40%,2.30%,1.80%,0.40%,86.90%,5.00%,0.00%,0.00%,13.10%
University of North Carolina at AshevilleBaccalaureate | NC,221,48.00%,0.40%,4.50%,3.60%,4.10%,0.40%,82.30%,0.40%,0.40%,3.60%,13.60%
Minnesota State University at MoorheadMaster's | MN,220,50.00%,0.40%,5.50%,1.80%,2.70%,0.00%,84.10%,0.90%,0.40%,4.10%,11.40%
St. Olaf CollegeBaccalaureate | MN,220,50.00%,0.00%,5.50%,4.50%,4.50%,0.00%,80.50%,2.30%,0.40%,2.30%,16.80%
Ozarks Technical Community CollegeAssociate | MO,220,59.60%,1.40%,1.40%,1.40%,0.40%,0.00%,95.00%,0.40%,0.00%,0.00%,5.00%
San Joaquin Delta CollegeAssociate | CA,220,50.90%,0.90%,11.40%,7.30%,15.00%,0.90%,52.70%,0.00%,11.80%,0.00%,35.40%
Saint Mary's College of CaliforniaMaster's | CA,220,56.80%,0.40%,11.40%,4.10%,10.00%,0.00%,54.10%,0.00%,12.70%,7.30%,25.90%
Rider UniversityMaster's | NJ,219,48.40%,0.00%,10.10%,3.20%,1.40%,0.00%,80.80%,0.90%,0.00%,3.60%,15.50%
Mount Holyoke CollegeBaccalaureate | MA,219,56.20%,0.00%,9.60%,5.50%,6.40%,0.00%,66.70%,2.70%,4.10%,5.00%,24.20%
Ohio Northern UniversityBaccalaureate | OH,219,40.20%,0.90%,5.00%,2.30%,0.50%,0.00%,82.20%,0.50%,0.90%,7.80%,9.10%
La Salle UniversityMaster's | PA,218,59.60%,0.00%,5.50%,2.80%,3.20%,0.00%,86.20%,0.90%,0.00%,1.40%,12.40%
Northwest Mississippi Community CollegeAssociate | MS,218,57.80%,0.50%,1.80%,6.90%,0.00%,0.00%,90.80%,0.00%,0.00%,0.00%,9.20%
Cabrillo CollegeAssociate | CA,218,60.10%,0.00%,4.10%,0.90%,11.50%,0.00%,76.60%,0.90%,2.30%,3.70%,17.40%
College of the CanyonsAssociate | CA,218,57.30%,0.90%,8.70%,2.80%,13.80%,0.00%,72.00%,0.50%,1.40%,0.00%,26.60%
Glendale Community College (Calif.)Associate | CA,218,56.00%,0.90%,10.10%,1.80%,10.10%,0.90%,73.90%,1.40%,0.90%,0.00%,25.20%
Albany State UniversityMaster's | GA,218,53.70%,0.50%,7.80%,47.30%,1.80%,0.00%,37.60%,0.50%,0.50%,4.10%,57.80%
University of Washington at BothellMaster's | WA,218,51.80%,0.50%,17.40%,3.70%,5.10%,0.50%,59.60%,2.30%,8.30%,2.80%,29.40%
California State University-Monterey BayMaster's | CA,217,55.30%,0.90%,13.40%,2.30%,18.40%,0.50%,53.50%,1.80%,6.50%,2.80%,37.30%
DePauw UniversityBaccalaureate | IN,217,46.50%,0.00%,11.10%,7.40%,4.20%,0.00%,75.60%,1.80%,0.00%,0.00%,24.40%
Ramapo College of New JerseyMaster's | NJ,216,52.30%,0.00%,15.30%,6.50%,8.30%,0.00%,67.10%,1.40%,0.50%,0.90%,31.50%
Siena CollegeBaccalaureate | NY,215,45.10%,0.00%,3.70%,2.80%,3.70%,0.00%,80.90%,0.50%,1.40%,7.00%,10.70%
Grand Rapids Community CollegeAssociate | MI,215,50.70%,0.00%,2.80%,8.40%,1.90%,0.00%,86.50%,0.50%,0.00%,0.00%,13.50%
University of RedlandsMaster's | CA,215,51.20%,0.90%,12.10%,4.20%,5.10%,0.00%,72.10%,0.00%,5.60%,0.00%,22.30%
Colorado CollegeBaccalaureate | CO,215,47.40%,1.40%,8.40%,4.70%,7.90%,0.00%,71.20%,0.50%,2.30%,3.70%,22.80%
Central Georgia Technical CollegeAssociate | GA,215,58.10%,0.50%,0.90%,33.50%,1.90%,0.00%,63.30%,0.00%,0.00%,0.00%,36.70%
Forsyth Technical Community CollegeAssociate | NC,214,59.40%,0.50%,3.70%,14.00%,0.90%,0.00%,80.40%,0.50%,0.00%,0.00%,19.60%
St. Philip's CollegeAssociate | TX,214,46.70%,0.50%,1.90%,14.90%,38.30%,0.00%,37.90%,6.50%,0.00%,0.00%,62.20%
Texas A&M International UniversityMaster's | TX,213,48.80%,0.00%,13.60%,2.80%,38.50%,0.00%,36.10%,0.00%,0.50%,8.50%,54.90%
McLennan Community CollegeAssociate | TX,213,68.50%,0.00%,1.40%,5.60%,6.10%,0.00%,86.40%,0.50%,0.00%,0.00%,13.60%
Kenyon CollegeBaccalaureate | OH,213,47.40%,0.50%,6.10%,6.60%,6.10%,0.00%,74.20%,0.00%,2.80%,3.80%,19.30%
Lewis & Clark CollegeBaccalaureate | OR,213,53.50%,0.50%,6.10%,2.40%,8.00%,0.00%,79.30%,2.80%,0.00%,0.90%,19.70%
Charleston Southern UniversityMaster's | SC,213,46.90%,0.50%,3.80%,8.90%,1.90%,0.00%,84.00%,0.90%,0.00%,0.00%,16.00%
Joliet Junior CollegeAssociate | IL,213,51.20%,0.00%,0.00%,3.80%,4.70%,0.00%,82.20%,4.20%,5.20%,0.00%,12.70%
Los Angeles City CollegeAssociate | CA,213,50.70%,0.00%,12.20%,6.10%,18.30%,0.00%,49.80%,0.90%,12.20%,0.50%,37.60%
Pomona CollegeBaccalaureate | CA,213,46.90%,0.00%,12.70%,5.20%,12.70%,0.00%,53.00%,1.40%,13.60%,1.40%,31.90%
Clayton State UniversityMaster's | GA,213,51.60%,0.00%,7.50%,27.70%,1.90%,0.00%,55.90%,0.00%,6.10%,0.90%,37.10%
Roger Williams UniversityMaster's | RI,212,44.80%,0.90%,5.20%,3.30%,4.70%,0.00%,78.80%,0.00%,3.30%,3.80%,14.10%
Chippewa Valley Technical CollegeAssociate | WI,212,53.80%,0.50%,0.50%,0.90%,0.00%,0.00%,96.20%,0.00%,1.90%,0.00%,1.90%
University of Wisconsin at River FallsMaster's | WI,212,42.00%,0.00%,8.50%,1.90%,2.40%,0.00%,83.50%,0.90%,0.00%,2.80%,13.70%
Hobart and William Smith CollegesBaccalaureate | NY,212,49.10%,0.50%,8.00%,2.40%,2.80%,0.00%,82.10%,1.40%,0.50%,2.40%,15.10%
Auburn University at MontgomeryMaster's | AL,211,46.90%,0.00%,9.00%,8.50%,1.90%,0.00%,75.40%,0.00%,0.50%,4.70%,19.40%
Dixie State College of UtahBaccalaureate | UT,211,45.50%,1.90%,5.70%,0.50%,2.80%,0.00%,86.30%,0.00%,0.90%,1.90%,10.90%
Colby CollegeBaccalaureate | ME,211,48.30%,0.00%,6.20%,3.30%,3.80%,0.00%,74.40%,0.50%,7.10%,4.70%,13.70%
Davidson CollegeBaccalaureate | NC,210,45.70%,0.00%,4.80%,5.70%,8.10%,0.00%,72.40%,0.90%,1.90%,6.20%,19.50%
The CitadelMaster's | SC,210,35.70%,0.90%,3.30%,3.80%,4.30%,0.50%,75.70%,2.90%,5.70%,2.90%,15.70%
Francis Marion UniversityMaster's | SC,210,51.90%,0.50%,3.80%,2.90%,0.90%,0.00%,91.00%,0.00%,0.90%,0.00%,8.10%
Seattle Pacific UniversityDoctoral | WA,210,48.10%,0.00%,8.60%,4.80%,2.90%,0.00%,72.90%,1.40%,4.80%,4.80%,17.60%
Spokane Community CollegeAssociate | WA,209,48.30%,0.00%,2.40%,0.50%,1.40%,0.00%,93.80%,1.00%,1.00%,0.00%,5.30%
