Name,Name Short,State,Type,No Students,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Pennsylvania State University  (system-wide),,PA,Public,,$4.55 ,$4.26 ,$3.99 ,$3.60 ,$3.64 ,$3.45 ,$2.96 ,$1.78 ,$1.73 ,$1.37 ,$1.23 ,$1.55 ,$1.59 
University of Pittsburgh,,PA,Public,,$4.31 ,$4.20 ,$3.95 ,$3.53 ,$3.59 ,$3.49 ,$2.98 ,$2.62 ,$2.53 ,$2.03 ,$1.84 ,$2.33 ,$2.25 
University of Minnesota,U Minnesota,MN,Public,49148,$3.95 ,$3.72 ,$3.49 ,$3.28 ,$3.30 ,$3.17 ,$2.76 ,$2.49 ,$2.50 ,$2.20 ,$2.09 ,$2.75 ,$2.80 
University of North Carolina at Chapel Hill,,NC,Public,,$3.67 ,$3.43 ,$3.03 ,$2.89 ,$2.99 ,$2.70 ,$2.38 ,$2.18 ,$2.26 ,$1.98 ,$1.91 ,$2.36 ,$2.16 
University of Wisconsin–Madison,,WI,Public,,$3.15 ,$2.99 ,$2.75 ,$2.42 ,$2.47 ,$2.33 ,$2.02 ,$1.81 ,$1.87 ,$1.55 ,$1.37 ,$1.74 ,$1.65 
Michigan State University,,MI,Public,,$3.03 ,$2.91 ,$2.68 ,$2.23 ,$2.70 ,$2.15 ,$1.37 ,$1.41 ,$1.40 ,$1.15 ,$1.05 ,$1.28 ,$1.25 
University of Washington,,WA,Public,,$2.94 ,$2.76 ,$2.53 ,$2.97 ,$3.08 ,$2.83 ,$2.35 ,$2.11 ,$2.15 ,$1.91 ,$1.65 ,$2.26 ,$2.18 
University of Illinois system  (system-wide),,IL,Public,,$2.81 ,$2.29 ,$2.44 ,$2.29 ,$2.39 ,$2.28 ,$1.93 ,$1.67 ,$1.60 ,$1.29 ,$1.11 ,$1.46 ,$1.52 
"University of California, Los Angeles",,CA,Public,,$2.75 ,$2.52 ,$2.06 ,$1.80 ,$1.87 ,$1.73 ,$1.53 ,$1.33 ,$1.49 ,$1.00 ,$0.90 ,$1.05 ,$0.98 
Purdue University (system-wide,,IN,Public,,$2.63 ,$2.52 ,$2.43 ,$2.26 ,$2.40 ,$2.44 ,$2.18 ,$1.92 ,$2.00 ,$1.63 ,$1.46 ,$1.74 ,$1.79 
Indiana University (system wide),,IN,Public,,$2.49 ,$2.40 ,$2.23 ,$1.99 ,$1.97 ,$1.99 ,$1.74 ,$1.58 ,$1.58 ,$1.37 ,$1.23 ,$1.55 ,$1.56 
Georgia Institute of Technology,Georgia Tech,GA,Public,32718,$2.17 ,$2.09 ,$1.99 ,$1.84 ,$1.86 ,$1.89 ,$1.71 ,$1.61 ,$1.62 ,$1.05 ,$0.99 ,$1.34 ,$1.28 
"University of California, Berkeley",UC Berkeley,CA,Public,43204,$2.07 ,$1.94 ,$1.80 ,$1.59 ,$1.58 ,$1.50 ,$1.24 ,$1.09 ,$1.06 ,$1.00 ,$0.90 ,$0.87 ,$0.84 
Virginia Commonwealth University,,VA,Public,,$2.04 ,$1.95 ,$1.84 ,$1.56 ,$1.64 ,$1.51 ,$1.33 ,$0.44 ,$0.35 ,$0.28 ,$0.25 ,$0.33 ,$0.33 
"University of California, San Francisco",,CA,Public,,$1.84 ,$1.64 ,$1.31 ,$1.14 ,$1.16 ,$0.94 ,,$0.68 ,$0.64 ,$0.51 ,$0.44 ,$0.47 ,$0.47 
