Publication Years	records	% of 5955
2020	1	0.017
2019	411	6.902
2018	373	6.264
2017	363	6.096
2016	312	5.239
2015	306	5.139
2014	238	3.997
2013	187	3.140
2012	224	3.762
2011	209	3.510
2010	205	3.442
2009	208	3.493
2008	232	3.896
2007	185	3.107
2006	230	3.862
2005	208	3.493
2004	230	3.862
2003	224	3.762
2002	195	3.275
2001	192	3.224
2000	172	2.888
1999	188	3.157
1998	177	2.972
1997	129	2.166
1996	125	2.099
1995	146	2.452
1994	150	2.519
1993	135	2.267
(0 records (0.000%) do not contain data in the field being analyzed.)
