,Description,Missouri,,,Montana,,,Nebraska,,,Nevada,,,New Hampshire,,,New Jersey,,,New Mexico,,,New York,,,North Carolina,,,North Dakota,,,Ohio,,,Oklahoma,,,Oregon,,,Pennsylvania,,,Rhode Island,,,South Carolina,,,South Dakota,,,Tennessee,,,Texas,,,Utah,,,Vermont,,,Virginia,,,Washington,,,West Virginia,,,Wisconsin,,,Wyoming,,
,,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local
,,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government
,,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1
,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Line,Description,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78
2,General revenue1,"47,600,839","29,582,220","24,759,499","9,238,302","6,643,430","3,927,833","17,711,769","10,054,061","10,163,433","23,789,962","15,275,138","14,067,259","11,636,217","7,081,110","6,375,958","100,039,295","63,009,819","49,281,969","21,144,692","16,719,002","8,495,625","296,667,383","162,711,509","192,270,716","85,074,723","54,948,763","44,482,254","9,093,358","6,468,323","4,701,930","106,634,708","68,715,654","55,350,086","30,163,969","21,050,742","13,087,072","43,621,204","30,269,491","20,141,415","125,411,364","84,114,217","64,706,522","11,239,505","8,002,220","4,559,827","42,816,573","26,887,654","22,187,780","6,965,760","4,270,890","3,569,867","46,418,571","29,443,998","24,488,287","222,554,145","128,175,823","129,380,712","26,112,885","17,921,734","11,652,278","7,125,401","6,075,793","2,815,354","73,946,655","47,234,152","39,656,671","77,077,304","47,362,428","43,873,214","16,302,406","12,751,630","5,351,715","50,921,044","35,559,620","27,209,706","8,577,742","5,552,848","4,961,083"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Intergovernmental revenue1,"11,981,541","11,349,148","7,373,273","3,276,711","3,054,845","1,554,827","3,455,532","3,179,745","2,781,512","5,576,924","5,234,577","5,894,782","2,434,017","2,720,286","1,534,582","18,159,059","17,886,524","12,525,028","7,412,924","7,230,013","4,252,846","66,871,350","60,888,464","64,297,728","20,516,926","18,492,410","16,380,810","1,945,480","1,736,646","2,285,729","25,984,597","24,239,315","19,176,314","7,654,174","7,298,139","4,329,880","10,771,690","9,981,312","7,580,080","32,136,161","29,453,230","26,092,306","2,889,565","2,805,958","1,406,149","9,898,618","9,826,544","6,330,935","1,663,126","1,533,534","1,004,589","11,917,158","11,322,797","8,108,075","45,875,643","44,657,709","36,220,324","5,025,513","4,534,522","3,952,118","2,043,794","1,976,513","1,833,027","11,792,532","10,699,848","14,036,852","15,684,084","14,237,160","15,605,262","5,123,884","5,016,093","1,908,730","9,939,321","9,583,041","12,204,562","2,724,960","2,592,055","2,069,094"
4,     From Federal Government,"11,981,541","11,148,286","833,255","3,276,711","3,049,060","227,651","3,455,532","3,101,736","353,796","5,576,924","4,998,908","578,016","2,434,017","2,330,206","103,811","18,159,059","17,254,384","904,675","7,412,924","7,001,104","411,820","66,871,350","59,694,153","7,177,197","20,516,926","18,308,857","2,208,069","1,945,480","1,694,168","251,312","25,984,597","23,666,373","2,318,224","7,654,174","7,133,911","520,263","10,771,690","9,950,887","820,803","32,136,161","29,224,575","2,911,586","2,889,565","2,730,095","159,470","9,898,618","9,463,339","435,279","1,663,126","1,496,398","166,728","11,917,158","11,211,644","705,514","45,875,643","41,962,867","3,912,776","5,025,513","4,531,587","493,926","2,043,794","1,974,231","69,563","11,792,532","9,966,484","1,826,048","15,684,084","13,773,274","1,910,810","5,123,884","4,930,069","193,815","9,939,321","9,361,012","578,309","2,724,960","2,574,251","150,709"
5,     From State government1,0,0,"6,540,018",0,0,"1,327,176",0,0,"2,427,716",0,0,"5,316,766",0,0,"1,430,771",0,0,"11,620,353",0,0,"3,841,026",0,0,"57,120,531",0,0,"14,172,741",0,0,"2,034,417",0,0,"16,858,090",0,0,"3,809,617",0,0,"6,759,277",0,0,"23,180,720",0,0,"1,246,679",0,0,"5,895,656",0,0,"837,861",0,0,"7,402,561",0,0,"32,307,548",0,0,"3,458,192",0,0,"1,763,464",0,0,"12,210,804",0,0,"13,694,452",0,0,"1,714,915",0,0,"11,626,253",0,0,"1,918,385"
6,     From local governments1,0,"200,862",0,0,"5,785",0,0,"78,009",0,0,"235,669",0,0,"390,080",0,0,"632,140",0,0,"228,909",0,0,"1,194,311",0,0,"183,553",0,0,"42,478",0,0,"572,942",0,0,"164,228",0,0,"30,425",0,0,"228,655",0,0,"75,863",0,0,"363,205",0,0,"37,136",0,0,"111,153",0,0,"2,694,842",0,0,"2,935",0,0,"2,282",0,0,"733,364",0,0,"463,886",0,0,"86,024",0,0,"222,029",0,0,"17,804",0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,General revenue from own sources,"35,619,298","18,233,072","17,386,226","5,961,591","3,588,585","2,373,006","14,256,237","6,874,316","7,381,921","18,213,038","10,040,561","8,172,477","9,202,200","4,360,824","4,841,376","81,880,236","45,123,295","36,756,941","13,731,768","9,488,989","4,242,779","229,796,033","101,823,045","127,972,988","64,557,797","36,456,353","28,101,444","7,147,878","4,731,677","2,416,201","80,650,111","44,476,339","36,173,772","22,509,795","13,752,603","8,757,192","32,849,514","20,288,179","12,561,335","93,275,203","54,660,987","38,614,216","8,349,940","5,196,262","3,153,678","32,917,955","17,061,110","15,856,845","5,302,634","2,737,356","2,565,278","34,501,413","18,121,201","16,380,212","176,678,502","83,518,114","93,160,388","21,087,372","13,387,212","7,700,160","5,081,607","4,099,280","982,327","62,154,123","36,534,304","25,619,819","61,393,220","33,125,268","28,267,952","11,178,522","7,735,537","3,442,985","40,981,723","25,976,579","15,005,144","5,852,782","2,960,793","2,891,989"
8,    Taxes,"23,339,584","12,495,867","10,843,717","4,104,915","2,654,444","1,450,471","9,816,590","5,103,105","4,713,485","13,433,789","8,624,618","4,809,171","6,702,555","2,592,039","4,110,516","62,801,154","33,100,504","29,700,650","8,482,348","5,639,433","2,842,915","177,750,542","79,678,037","98,072,505","40,686,219","26,864,282","13,821,937","5,033,003","3,465,326","1,567,677","54,009,279","29,476,074","24,533,205","13,888,998","8,523,006","5,365,992","19,542,849","11,839,680","7,703,169","66,521,406","38,397,150","28,124,256","5,878,675","3,266,663","2,612,012","17,685,205","9,828,825","7,856,380","3,720,324","1,828,426","1,891,898","22,872,943","13,893,728","8,979,215","117,851,746","53,612,926","64,238,820","12,608,887","7,832,889","4,775,998","3,804,507","3,157,314","647,193","40,599,697","22,202,326","18,397,371","39,663,423","23,997,592","15,665,831","7,185,678","5,092,879","2,092,799","28,328,777","18,133,496","10,195,281","2,817,020","1,649,549","1,167,471"
9,          Property,"6,348,472","31,643","6,316,829","1,671,500","274,431","1,397,069","3,754,107",123,"3,753,984","3,007,466","300,490","2,706,976","4,464,178","405,186","4,058,992","29,117,995","4,761","29,113,234","1,657,728","81,694","1,576,034","56,853,460",0,"56,853,460","10,004,705",0,"10,004,705","1,249,091","4,401","1,244,690","15,345,756",0,"15,345,756","2,872,432",0,"2,872,432","6,165,880","20,065","6,145,815","19,544,242","43,360","19,500,882","2,543,029","2,633","2,540,396","6,031,636","37,518","5,994,118","1,415,251",0,"1,415,251","5,880,901",0,"5,880,901","53,017,470",0,"53,017,470","3,219,661",0,"3,219,661","1,667,338","1,056,635","610,703","13,987,458","31,232","13,956,226","11,122,068","2,097,507","9,024,561","1,722,034","7,248","1,714,786","9,586,292","132,022","9,454,270","1,266,645","274,005","992,640"
